number,semester,year,level,preprocessed_title,preprocessed_description,instructors,preprocessed_department_name,preprocessed_topics
5.61,Fall,2017.0,Undergraduate,physical chemistry,course introduction quantum mechanic _use_ chemist topic include particle wave wave mechanic semiclassical quantum mechanic matrix mechanic perturbation theory molecular orbital theory molecular structure molecular spectroscopy photochemistry emphasis creating building confidence use intuitive picture,Prof. Robert Field,chemistry,"science, chemistry, physical chemistry"
2.693,Spring,2004.0,Graduate,principle oceanographic instrument system sensor measurement 13998,course introduces theoretical practical principle design oceanographic sensor system topic include transducer characteristic acoustic current temperature pressure electric magnetic gravity salinity velocity heat flow optical device limitation device imposed ocean environment signal conditioning recording noise sensitivity sampling limitation standard lecture expert cover principle stateoftheart system used physical oceanography geophysics submersible acoustic lab work day cruise local water allow student prepare deploy analyze observation standard oceanographic instrument,"Dr. James D. Irish, Dr. Albert J. Williams",mechanical engineering,"engineering, science, electrical engineering, earth science, signal processing, environmental science, oceanography, ocean engineering, ocean exploration"
4.341,Fall,2007.0,Undergraduate,introduction photography related medium,course provides practical instruction fundamental analog digital slr mediumlarge format camera operation film exposure development black white darkroom technique digital imaging studio lighting semester explore mit department brain cognitive science theme sitespecific term project provides opportunity develop technical skill experimental photographic technique personal artistic exploration final project presented site exhibition format work progress continuously presented discussed critical forum lecture reading visiting professional group discussion site visit encourage aesthetic appreciation medium deeper understanding semester theme well critical awareness image culture produced constructed,"Andrea Frank, Adele Phillips, Reilly Rabitaille, Sadia Shirazi",architecture,"visual art, medium study, fine art, photography"
5.12,Spring,2005.0,Undergraduate,organic chemistry,subject deal primarily basic principle understand structure reactivity organic molecule emphasis substitution elimination reaction chemistry carbonyl group course also provides introduction chemistry aromatic compound,"Dr. Kimberly Berkowski, Prof. Sarah O’Connor",chemistry,"science, chemistry, organic chemistry"
6.642,Fall,2008.0,Graduate,continuum electromechanics,course focus law approximation relation continuum electromechanics topic include mechanical electromechanical transfer relation static dynamic electromechanical system static equilibrium electromechanical flow field coupling thermal molecular diffusion also covered electrokinetics streaming interaction application material processing magnetohydrodynamic electrohydrodynamic pump generator ferrohydrodynamics physiochemical system heat transfer continuum feedback control electron beam device plasma dynamic acknowledgement instructor would like thank xuancheng shao anyang hou transcribing latex problem set solution exam solution respectively,Markus Zahn,electrical engineering computer science,"engineering, science, physic, mechanical engineering, electrical engineering, quantum mechanic, electromagnetism"
9.10,Spring,2006.0,Undergraduate,cognitive neuroscience,course explores cognitive neural process support attention vision language motor control navigation memory introduces basic neuroanatomy functional imaging technique behavioral measure cognition discus method inference brain base cognition made consider evidence patient neurological disease alzheimers disease parkinson disease huntington disease balints syndrome amnesia focal lesion stroke normal human participant,Prof. Suzanne Corkin,brain cognitive science,"science, biology, cognitive science, neuroscience"
CMS.360,Fall,2012.0,Undergraduate,introduction civic medium,course examines civic medium comparative transnational historical perspective use various theoretical tool research approach project design method,"Prof. Sasha Costanza-Chock, Rebecca Hurwitz",comparative medium studieswriting,"communication, social science, medium study, fine art"
ES.S60,Spring,2013.0,Undergraduate,art science happiness,seminar look current theory happiness positive psychology well practical implication theory life explores concept happiness different cultural definition happiness connection happiness optimism meaning also explored practical strategy creating opportunity happiness life learning deal effectively source unhappiness seminar part experimental study grouphttpesgmitedu mit,Dr. Holly Sweet,experimental study group,"social science, psychology"
ESD.051J,Fall,2012.0,Undergraduate,engineering innovation design,learn produce great design effective engineer communicate high emotional intellectual impact project based course give student ability understand contextualize analyze engineering design system learning applying design thinking student effectively solve problem domain lecture focus teaching tested iterative design process well technique sharpen creative analysis guest lecture discipline illustrate different approach design thinking course develops student skill conceive organize lead implement evaluate successful project engineering discipline additionally student learn give compelling inperson presentation open major year,"Blade Kotelly, Prof. Joel  E  Schindall","engineering system division, electrical engineering computer science","engineering, innovation, system engineering, business, project management, system design"
HST.508,Fall,2005.0,Graduate,quantitative genomics,course provides foundation following four area evolutionary population genetics comparative genomics structural genomics proteomics functional genomics regulation,"Prof. Robert Berwick, Dr. Alvin Kho, Prof. Isaac Kohane, Prof. Leonid Mirny",health science technology,"science, health medicine, biology, genetics, proteomics, functional genomics"
STS.069,Fall,2002.0,Undergraduate,technology dangerous world,aim analyze important current event reveal nature working technological world starting point connection technology terrorism subject also explores humanbuilt world foster insecurity danger human being respond many invited guest help develop strong interdisciplinary approach science engineering social science humanity topic include technological risk remediation sociotechnical system imagination disaster technology identity technology religion technology education technology trust written oral assignment final project required servicelearning proposal webbased presentation addition written work may considered final project instructor,Prof. Rosalind Williams,science technology society,"social science, public administration, sociology, science technology policy, security study"
STS.436,Fall,2008.0,Graduate,cold war science,seminar examines history legacy cold war american science explores scientist new political role world war ii ranging elite policy maker nuclear age victim domestic anti communism also examines changing institution physical science social science conducted postwar decade investigating possible epistemic effect form knowledge subject close considering place science postcold war era,Prof. David Kaiser,science technology society,"humanity, history, history science technology, modern history, military history"
15.280,Fall,2016.0,Graduate,communication manager,course student develop polish communication strategy method discussion example practice emphasizes writing speaking skill necessary effective leader course includes several oral written assignment integrated subject career development activity possible course part mba core restricted firstyear sloan graduate student find sloan mba core ocwhttpmitopencoursewarewordpresscom20140529ocwpresentsthesloanmbafirstsemestercore,Prof. Neal Hartman,sloan school management,"communication, management, leadership, social science, business"
24.264,Fall,2005.0,Undergraduate,film visual literary mythmaking,course examines problem philosophy film well literature studied relation making myth reading film discussed course draw upon classic myth western world emphasis placed meaning technique basis creative value medium,Prof. Irving Singer,linguistics philosophy,"humanity, literature, visual art, fine art, philosophy, film video"
11.129,Fall,2011.0,Undergraduate,educational theory practice,course designed prepare successful student teaching experience major theme activity analysis teacher learner subject knowledge adolescent development student learning style lesson planning assessment strategy classroom management technique differentiated instruction course requires significant personal involvement time observe high school class begin pursue active role classroom latter part semester reflective writing see think journal design teach minilesson design major curriculum unit engage classroom discussion activity,Reen Gibb,urban study planning,"teaching education, curriculum teaching"
14.121,Fall,2015.0,Graduate,microeconomic theory,halfsemester course provides introduction microeconomic theory designed meet need student economics phd program part course designed teach material graduate student know others used introduce methodology student comfortable multivariable calculus linear algebra basic real analysis,"Alan Olivi, Prof. Alexander Wolitzky",economics,"economics, social science, microeconomics"
15.369,Fall,2015.0,Graduate,seminar corporate entrepreneurship,course address practical challenge making established company entrepreneurial examines various role related corporate entrepreneurship outside speaker complement faculty lecture,"Aleksandra J. Kacperczyk, Charles Kiefer",sloan school management,"entrepreneurship, innovation, management, business"
2.682,Spring,2012.0,Graduate,acoustical oceanography,course begin brief overview important current research topic oceanography physical geological biological acoustic used tool address three typical example climate bottom geology marine mammal behavior address acoustic inverse problem reviewing inverse method linear nonlinear combination acoustical method measurement integrated system last part course concentrate specific case study taken current research journal course taught campus mit simultaneous video wood hole oceanographic institution,James Lynch,mechanical engineering,"engineering, science, physic, earth science, oceanography, ocean engineering"
21H.S01,Fall,2014.0,Undergraduate,food american history,course explore food modern american history story industrialization globalization lecture reading discussion emphasize historical dimension ofand debate aboutslave plantation factory farm labor industrial processing technology food preservation political economy ecology global commodity chain vagary nutritional science food restriction reform movement food surplus famine cooking tradition innovation emergence restaurant supermarket fast food slow food core concern course understand increasingly pervasive influence american model food production consumption pattern,Anya Zilberstein,history,"science, humanity, history, health medicine, earth science, energy, business, globalization, technology, health exercise science, american history, climate, sustainability"
12.158,Fall,2011.0,"Undergraduate, Graduate",molecular biogeochemistry,course cover aspect molecular biosignatures pathway lipid biosynthesis distribution pattern lipid biosynthetic pathway regard phylogeny physiology isotopic content occurrence modern organism environment diagenetic pathway analytical technique occurrence molecular fossil geological record student analyze depth recent literature chemical fossil lecture provide background subject matter basic knowledge organic chemistry required student taking graduate version complete additional assignment,"Dr. Florence Schubotz, Dr. Julio Sepulveda, Prof. Roger Summons, Dr. Paula Welander",earth atmospheric planetary science,"science, earth science, biology, geochemistry, geobiology, ecology, molecular biology"
21L.703,Spring,2014.0,Undergraduate,study drama stoppard company,taking starting point work one britain respected prolificand funnyliving dramatist seminar explore wide range knowledge field math philosophy politics history art careful reading discussion play sir tom stoppard compelling contemporary including caryl churchill anna deveare smith howard barker allow u timetravel explore culture think medium drama well one writer work depth seminar participant report earlier play influenced writer others research everything lord byron poetry bridge konigsberg dadaism charter 77 employing variety critical approach theoretical theatrical consider postmodernity mean applied play process analyze drama connects culture represents address performance also explore wit verbal energy contemporary dramatistsnot mention fermat theorem classical translation chaos theory become stuff stage comedy,Prof. Diana Henderson,literature,"humanity, literature, fine art, performance art, criticism, drama, theater"
21L.488,Spring,2018.0,Undergraduate,contemporary literature street haunting global city,class focus connection urban exploration reading attending shared concern pacing legibility transgression attention distraction tracing retracing memory idea rereading city theme centering discussion guiding principle course design continuously loop back returning haunt text left behind earlier semester,Dr. Anna J. Abramson,literature,"humanity, literature, criticism, fiction"
6.895,Fall,2004.0,Graduate,essential coding theory,course introduces theory errorcorrecting code computer scientist theory dating back work shannon hamming late 40 overflow theorem technique notion interest theoretical computer scientist course focus result asymptotic algorithmic significance principal topic include 1 construction existence result errorcorrecting code 2 limitation combinatorial performance errorcorrecting code 3 decoding algorithm 4 application computer science,Prof. Madhu Sudan,electrical engineering computer science,"engineering, computer science, algorithm data structure, theory computation"
PE.810,Spring,2007.0,Undergraduate,sailing,purpose class tell something tech dinghy sail ocw site arranged series skill explained lecture note video please think skill check test instead measure understanding sport dont expect perfection beginner member able safely handle boat charles wish much learned boat water learned provide basis build detail text sailing tech dinghy provided reading section,Prof. Francis Charles,athletics physical education recreation,"health medicine, physical education recreation"
11.401,Fall,2015.0,Graduate,introduction housing community economic development,course provides student critical introduction social economic inequality america equitable development response framework planner social capital community building planning concept history development current prospect field housing emphasis affordability inclusion local economic development,"Prof. Justin Steil, Prof. J. Phillip Thompson",urban study planning,"economics, social science, public administration, sociology, urban study, community development, urban planning, housing development"
9.93,January IAP,2007.0,Undergraduate,marathon moral reasoning laboratory,seminar focus cognitive science moral reasoning philosopher debate decide moral action permissible permissible take one human life order save others powerful surprisingly rich subtle intuition question class learn intuition studied using formal analytical paradigm behavioral experiment thursday evening meet learn recent advance theory moral reasoning overnight formulate hypothesis structure moral reasoning design questionnairebased experiment test friday present select 12 proposal collect data reconvene analyze discus result implication structure moral mind course offered independent activity period iap special 4week term mit run first week january end month,"Prof. John Mikhail, Prof. Rebecca Saxe, Prof. Joshua Tenenbaum",brain cognitive science,"science, humanity, ethic, social science, philosophy, cognitive science, psychology"
6.777J,Spring,2007.0,Graduate,design fabrication microelectromechanical device,6777j 2372j introduction microsystem design topic covered include material property microfabrication technology structural behavior sensing method fluid flow microscale transport noise amplifier feedback system student team design microsystems sensor actuator sensingcontrol system variety type eg optical mem biomems inertial sensor meet set performance specification eg sensitivity signaltonoise using realistic microfabrication process emphasis modeling simulation design process prior fabrication experience desirable course worth 4 engineering design point,"Prof. Carol Livermore, Prof. Joel Voldman","electrical engineering computer science, mechanical engineering","engineering, science, physic, electronics, mechanical engineering, electrical engineering, nanotechnology, microtechnology, electromagnetism"
12.010,Fall,2011.0,Undergraduate,computational method scientific programming,course introduces programming language technique used physical scientist fortran c c matlab mathematica emphasis placed program design algorithm development verification comparative advantage disadvantage different language,"Prof. Thomas Herring, Dr. Chris Hill",earth atmospheric planetary science,"engineering, computer science, system engineering, programming language, algorithm data structure, computational science engineering"
1.725J,Fall,2004.0,Graduate,chemical environment fate transport,core class environmental meng program student interested behavior chemical environment emphasis manmade chemical movement water air soil eventual fate physical transport well chemical biological source sink discussed linkage health effect source control policy aspect discussed debated,"Janet Chuang, Prof. Harold Hemond",civil environmental engineering,"engineering, science, chemistry, earth science, environmental engineering, transport process, environmental science, hydrology water resource system, chemical engineering"
21G.502,Spring,2020.0,Undergraduate,japanese ii,course cover genki lesson 7 12 enhance basic skill conversation reading writing japenese program emphasizes active command language rather passive knowledge end semester able carry conversation japanese also learn approximately 90 kanji character,"Dr. Takako Aikawa, Masami Ikeda-Lamm, Wakana Maekawa, Emiko Rafique",global study language,"humanity, language, japanese"
21H.245J,Spring,2016.0,Undergraduate,soviet postsoviet politics society 1917 present,course explores political historical evolution soviet state society 1917 revolution present cover creation revolutionary regime cause nature stalin revolution poststalinist effort achieve political social reform cause soviet collapse also examines current development russia light soviet history,Prof. Elizabeth A. Wood,"history, political science, global study language","humanity, history, society, european russian study, european history, military history"
24.200,Fall,2004.0,Undergraduate,ancient philosophy,course acquaint student ancient greek contribution western philosophical scientific tradition examine broad range central philosophical theme concerning nature law justice knowledge virtue happiness death strong emphasis analysis argument found text,Prof. Sally Haslanger,linguistics philosophy,"humanity, literature, philosophy, classic"
4.500,Fall,2008.0,Undergraduate,introduction design computing,course introduce student architectural design computation use computer modeling rendering digital fabrication course focus teaching architectural design cad drawing 3d modeling rendering rapid prototyping student required build computer model lead full package architectural exploration computer semester explore design process particular building type building material course also investigates design process selected architect course critical design principle building production method student assignment graded based quality design representation constructability great design input always encouraged,Prof. Lawrence Sass,architecture,"engineering, computer science, architecture, system engineering, fine art, architectural design, computational modeling simulation, graphic visualization"
6.170,Spring,2013.0,Undergraduate,software studio,course software engineering cover design implementation mediumscale software system using web application platform course student learn fundamental structuring web application writing modular code emphasis conceptual design achieve clarity simplicity modularity topic also include functional programming relational database security,Prof. Daniel Jackson,electrical engineering computer science,"engineering, computer science, software design engineering, programming language, algorithm data structure"
6.877J,Fall,2005.0,Graduate,computational evolutionary biology,easier develop vaccine eliminate polio control influenza aid natural selection language gene animal wheel maximizing fitness lead evolutionary extinction sex parasite related dont snake eat grass dont eye back head modern genomics illustrate challenge field course analyzes evolution computational modeling engineering perspective course extensive handson laboratory exercise modelbuilding analyzing evolutionary data,Prof. Robert Berwick,"electrical engineering computer science, health science technology","engineering, science, biological engineering, biology, computational biology, computation system biology"
CC.S10,Fall,2011.0,Undergraduate,history philosophy mechanic newton principia mathematica,course focus indepth reading _principia mathematica philosophiae naturalis_ isaac newton well several related commentary historical philosophical text,Adam Schulman,concourse,"humanity, history, philosophy, history science technology, intellectual history"
STS.340J,Fall,2006.0,Graduate,introduction history technology,course introduction consideration technology outcome particular technical historical cultural political effort especially united state 19th 20th century topic include industrialization production consumption development engineering profession emergence management role shaping technological form technological construction gender role relationship human machine,Prof. David Mindell,"science technology society, engineering system division","humanity, history, history science technology, modern history"
WGS.115,Spring,2013.0,Undergraduate,gender technology,course considers wide range issue related contemporary historical use technology development new technology cultural representation technology including role woman played development technology effect technological change role woman idea gender discus social implication technology understanding deployment different cultural context investigates relationship technology identity category gender race class sexuality examines technology offer possibility new social relation evaluate,Dr. K.J. Surkan,woman gender study,"humanity, history, society, gender study, history science technology"
15.902,Fall,2006.0,Graduate,strategic management,course focus important current issue strategic management concentrate modern analytical approach enduring successful strategic practice consciously designed technological global outlook since orientation many way highlight significant emerging trend strategic management course intended provide student pragmatic approach guide formulation implementation corporate business functional strategy,"Prof. Arnoldo Hax, Rohan Sahani",sloan school management,"management, leadership, business"
17.581,Spring,2013.0,Undergraduate,riot rebellion revolution,course examines different type violent political conflict compare contrast several social science approach psychological sociological political analyzes ability explain variation outbreak duration outcome conflict incident riot u 1960s riot india yugoslav war russian revolution well current international event discussed,Prof. Roger Petersen,political science,"humanity, history, social science, political science"
6.035,Spring,2010.0,Undergraduate,computer language engineering,course analyzes issue associated implementation higherlevel programming language topic covered include fundamental concept function structure compiler interaction theory practice using tool building software course includes multiperson project compiler design implementation,"Prof. Saman Amarasinghe, Prof. Martin Rinard",electrical engineering computer science,"engineering, computer science, software design engineering, programming language"
16.622,Fall,2003.0,Undergraduate,experimental project ii,experimental project lab department aeronautics astronautics twosemester course sequence _16621 experimental project icourses16621experimentalprojectsispring2003_ _16622 experimental project ii_ course student 16622 gain practical insight improved understanding engineering experimentation design execution project experiment building upon work course 16621 student construct test equipment make systematic experimental measurement phenomenon analyze data compare theoretical prediction result deliverable comprise written final project report formal oral presentation instruction oral presentation multisection reporting given experimental project ii provide valuable link theory 16621 practice 16622,"Prof. Jennifer L. Craig, Prof. John Deyst, Prof. Edward Greitzer",aeronautics astronautics,"engineering, science, computer science, system engineering, data mining, aerospace engineering, system design"
15.024,Summer,2004.0,Graduate,applied economics manager,fact scarcity force individual firm society choose among alternative us allocation limited resource accordingly first part summer course seek understand economist model choice process individual consumer firm market work coordinate choice also examines well market perform function using economist criterion market efficiency overall course focus microeconomics topic macroeconomics international trade emphasizes integration theory data judgment analysis corporate decision public policy assessment changing u international business environment,Prof. Daniel Richards,sloan school management,"management, economics, social science, business, microeconomics, industrial organization"
6.021J,Fall,2004.0,Undergraduate,quantitative physiology cell tissue,subject consider two basic topic cellular biophysics posed question 1 molecule transported across cellular membrane mechanism transport cell maintain composition volume membrane potential 2 potential generated across membrane cell potential although question posed fundamentally biological question method answering question inherently multidisciplinary see throughout course role mathematical model express concept precisely enough precise conclusion drawn connection topic covered consider theory experiment student educational value examining interplay theory experiment transcends value specific knowledge gained subject matter course jointly offered four department available undergraduate graduate,Prof. Dennis Freeman,"electrical engineering computer science, mechanical engineering, biological engineering, health science technology","science, health medicine, anatomy physiology, biology, molecular biology, biophysics, cell biology"
18.100B,Fall,2010.0,Undergraduate,analysis,analysis cover fundamental mathematical analysis metric space convergence sequence series continuity differentiability riemann integral sequence series function uniformity interchange limit operation,Prof. Katrin Wehrheim,mathematics,"mathematics, differential equation, calculus, mathematical analysis"
21L.450,Fall,2002.0,Undergraduate,literature ethical value,aim subject acquaint student important work systematic ethical philosophy bring bear viewpoint work study classic work literature subject trace history ethical speculation systematic philosophy identifying four major position two ancient world two important tradition ethical philosophy since renaissance two ancient position represented plato aristotle two modern position immanuel kant john stuart mill try understand four position engaged rivalry one another also engage philosophy thomas hobbes offer bridge ancient modern conception provides source rivalry viewpoint kant mill mindful modern position subject criticism today new current philosophical speculation argue return position plato aristotle,Prof. Alvin Kibel,literature,"humanity, ethic, literature, philosophy, classic, comparative literature"
22.812J,Spring,2004.0,Graduate,managing nuclear technology,examination current economic policy issue electric power industry focusing nuclear power fuel cycle introduces technique analyzing private public policy alternative including discounted cash flow method technique engineering economics application specific problem area including nuclear waste management weapon proliferation topic include deregulation restructuring electric power industry,Prof. Richard Lester,"nuclear science engineering, engineering system division","engineering, management, social science, public administration, energy, business, science technology policy, nuclear engineering, nuclear, electricity, nuclear system policy economics"
9.29J,Spring,2004.0,Undergraduate,introduction computational neuroscience,course give mathematical introduction neural coding dynamic topic include convolution correlation linear system game theory signal detection theory probability theory information theory reinforcement learning application neural coding focusing visual system covered well hodgkinhuxley related model neural excitability stochastic model ion channel cable theory model synaptic transmission visit seung labhttpseunglaborg web site,Prof. Sebastian Seung,"brain cognitive science, physic","engineering, science, biological engineering, biology, cognitive science, computational biology, neuroscience"
7.02CI,Spring,2005.0,Undergraduate,experimental biology communication intensive,course scientific communication portion course 702 experimental biology communication student develop skill writer scientific research skill also contribute learning 702 course material class class writing exercise student explore genre research article component developing understanding material covered 702 laboratory,"Dr. Neal Lerner, Dr. Marilee Ogren-Balkema","biology, chemical engineering","science, humanity, literature, biology, academic writing"
11.945,Spring,2006.0,Graduate,katrina practicum,wake katrina entire gulf coast embroiled struggle constitutes appropriate rebuilding redevelopment effort practicum engage student set work group designed assist local community based institution people shaping policy practice guide redevelopment rebuilding effort city new orleans,"Prof. JoAnn Carmin, Prof. Ceasar McDowell, Prof. J. Phillip Thompson",urban study planning,"engineering, social science, public administration, sociology, urban study, environmental engineering, community development, housing development, public policy, environmental management, environmental policy"
15.311,Fall,2003.0,Graduate,organizational process,organizational process enhances student ability take effective action complex organizational setting providing analytic tool needed analyze manage lead organization future emphasis placed importance organizational context influencing individual style skill effective subject center three complementary perspective lens organization political cultural strategic design student enrolled class also jointly enrolled 15328courses15328teamprojectfall2003 team project order complete field study organizational change initiative organizational process also operates conjunction 15280 communication manager sharing certain assignment holding joint class,"Prof. Paul Carlile, Prof. Roberto Fernandez, Prof. John Van Maanen",sloan school management,"management, leadership, business, organizational behavior"
21A.550J,Fall,2012.0,Undergraduate,dv lab documenting science video new medium,course introductory exploration documentary film theory production focusing documentary science engineering related field student engage digital video production well social medium analysis science documentary reading drawn social study science well documentary film theory course us documentary video making tool explore world science engineering well tool thinking analytically medium social world science embedded course includes handson lab component devoted digital video production addition classroom lecture inclass film screening,"Chris Boebel, Prof. Christine Walley","anthropology, science technology society","engineering, science, social science, visual art, medium study, fine art, anthropology, film video"
9.85,Fall,2012.0,Undergraduate,infant early childhood cognition,course introduction cognitive development focusing childrens understanding object agent causality develops critical understanding experimental design course discus developmental research might address philosophical question origin knowledge appearance reality problem mind provides instruction practice written communication needed cognitive science research including critical review journal paper literature review original research proposal well instruction practice oral communication form poster presentation journal paper,Prof. Laura Schulz,brain cognitive science,"science, social science, cognitive science, psychology"
1.040,Spring,2009.0,Undergraduate,project management,1040 project management focus management implementation construction project primarily infrastructure project project refers temporary piece work undertaken create unique product service whereas operation continuous repeating project finite end date project bring form function idea need notable project include manhattan project developing first nuclear weapon human genome project mapping human genome central artery project boston big dig field project management deal planning execution controlling project course divided three part part 1 project finance part 2 project evaluation part 3 project organization course cover basic tool skill knowledge necessary successfully manage project inception design planning construction transition phase several guest lecture discussing current project construction site visit mit medium lab extension,Prof. Fred Moavenzadeh,"civil environmental engineering, engineering system division","engineering, business, civil engineering, construction management, project management"
14.382,Spring,2017.0,Graduate,econometrics,course cover several key model well identification estimation method used modern econometrics shall exploring leading model econometrics seeing structure providing method identification estimation inference get lot handson experience using method real data set,Prof. Victor Chernozhukov,economics,"economics, social science, econometrics"
7.012,Fall,2004.0,Undergraduate,introduction biology,mit biology department core course 7012 7013 7014 cover core material includes fundamental principle biochemistry genetics molecular biology cell biology biological function molecular level particularly emphasized cover structure regulation gene well structure synthesis protein molecule integrated cell cell integrated multicellular system organism addition version subject distinctive material 7012 focus exploration current research cell biology immunology neurobiology genomics molecular medicine acknowledgment study material problem set quiz material used fall 2004 7012 include contribution past instructor teaching assistant member mit biology department affiliated course 7012 since following work evolved period many year single source attributed,"Prof. Andrew Chess, Dr. Claudette Gardel, Prof. Eric Lander, Prof. Robert Weinberg",biology,"science, biology"
18.03,Spring,2010.0,Undergraduate,differential equation,differential equation language law nature expressed understanding property solution differential equation fundamental much contemporary science engineering ordinary differential equation ode deal function one variable often thought time,"Prof. Arthur Mattuck, Prof. Haynes Miller",mathematics,"mathematics, linear algebra, differential equation"
18.701,Fall,2010.0,Undergraduate,algebra,undergraduate level algebra course cover group vector space linear transformation symmetry group bilinear form linear group,Prof. Michael Artin,mathematics,"mathematics, algebra number theory, linear algebra"
16.885J,Fall,2005.0,Graduate,aircraft system engineering,16885j offer holistic view aircraft system covering basic system engineering cost weight estimation basic aircraft performance safety reliability lifecycle topic aircraft subsystem risk analysis management system realization small student team retrospectively analyze existing aircraft covering key design driver decision aircraft attribute subsystem operational experience oral written version case study delivered fall 2005 term class focus system engineering analysis space shuttle offer study design operation shuttle frequent lecture outside expert student choose specific shuttle system detailed analysis develop new subsystem design using state art technology,Prof. Jeffrey Hoffman,"aeronautics astronautics, engineering system division","engineering, system engineering, business, aerospace engineering, project management"
21A.303J,Fall,2013.0,Undergraduate,anthropology biology,course applies tool anthropology examine biology age genomics biotechnological enterprise biodiversity conservation pharmaceutical bioprospecting synthetic biology examines social concern bioterrorism genetic modification cloning offer anthropological inquiry substance explanation biologyecological organismic cellular molecular genetic informaticare changing examines artifact cell line biodiversity database artificial life model using primary source biology social study life science literary cinematic material asks might answer erwin schrodinger 1944 question life today,Prof. Stefan Helmreich,"anthropology, science technology society","humanity, history, social science, anthropology, history science technology"
21G.103,Fall,2018.0,Undergraduate,chinese iii regular,course form intermediate level constitutes fourterm foundation mandarin upon completion chinese iii iv student able speak chinese fluency everyday topic reach literacy level 700 character approximately 2000 common word written traditional simplified character read material simple standard written chinese produce orally writing short composition everyday topic throughout course address issue cultural difference inform informed different linguistic context practice,Dr. Haohsiang Liao,global study language,"humanity, language, chinese"
21L.003-1,Spring,2007.0,Undergraduate,reading fiction dysfunctional family,course explores form content historical context various work fiction specifically thematic lens dysfunctional family focus primarily question pertaining structure language story character fictional work,Prof. Sandy Alexandre,literature,"humanity, literature, criticism, fiction"
24.910,Spring,2009.0,Undergraduate,topic linguistic theory propositional attitude,course explores topic related representation expression propositional attitude _eg_ belief knowledge desire speech act _eg_ saying asking natural language main focus semantics predicate believe know want say ask etc topic include syntax main embedded clause formal representation pragmatic conversation course provides practice written oral communication,Dr. Tamina Stephenson,linguistics philosophy,"humanity, linguistics, semantics, syntax"
6.046J,Spring,2015.0,Undergraduate,design analysis algorithm,intermediate algorithm course emphasis teaching technique design analysis efficient algorithm emphasizing method application topic include divideandconquer randomization dynamic programming greedy algorithm incremental improvement complexity cryptography,"Prof. Erik Demaine, Prof. Srini Devadas, Prof. Nancy Lynch","electrical engineering computer science, mathematics","engineering, computer science, mathematics, applied mathematics, algorithm data structure, cryptography, computer network"
6.252J,Spring,2003.0,Graduate,nonlinear programming,6252j course department communication control signal processing concentration course provides unified analytical computational approach nonlinear optimization problem topic covered course include unconstrained optimization method constrained optimization method convex analysis lagrangian relaxation nondifferentiable optimization application integer programming also comprehensive treatment optimality condition lagrange multiplier theory duality theory throughout course application drawn control communication power system resource allocation problem,Prof. Dimitri Bertsekas,"electrical engineering computer science, sloan school management","engineering, computer science, system engineering, theory computation, system optimization"
6.845,Fall,2010.0,Graduate,quantum complexity theory,course introduction quantum computational complexity theory study fundamental capability limitation quantum computer topic include complexity class lower bound communication complexity proof advice interactive proof system quantum world objective bring student research frontier,Prof. Scott Aaronson,electrical engineering computer science,"engineering, science, computer science, physic, mathematics, algorithm data structure, theory computation, quantum mechanic, discrete mathematics"
9.20,Fall,2013.0,Undergraduate,animal behavior,introductory topic cover various approach study animal behavior key concept study animal behavior emphasizing ethology covered class assigned reading scott 2005 supplemented selection book especially classic field well selected video next key concept sociobiology covered using reading alcock 2001 supplemented selection additional book video presentation,Prof. Gerald E. Schneider,brain cognitive science,"science, biology, cognitive science, ecology"
9.63,Fall,2009.0,Undergraduate,laboratory visual cognition,963 teach principle experimental method human perception cognition including design statistical analysis course combine lecture handson experimental exercise requires independent experimental project experience programming desirable foster improved writing presentation skill conducting critiquing research cognitive science student required provide report give oral presentation three team experiment fourth individually conducted experiment includes proposal revision concluding written oral report,Prof. Aude Oliva,brain cognitive science,"science, health medicine, cognitive science, sensoryneural system"
EC.720J,Spring,2010.0,Undergraduate,dlab ii design,dlab design address problem faced undeserved community focus design experimentation prototyping process particular attention placed constraint faced designing developing country multidisciplinary team work semesterlong project collaboration community partner field practitioner expert relevant field topic covered include design affordability design manufacture sustainability strategy working effectively community partner customer student may continue project begun _ec701j dlab development_coursessp721dlabidevelopmentfall2009,"Victor Grau Serrat, Amy J. Smith","edgerton center, mechanical engineering","engineering, science, mechanical engineering, economics, social science, earth science, developing world, society, developmental economics, mechanical design, sustainability"
12.864,Spring,2005.0,Graduate,inference data model,course cover fundamental method used exploring information content observation related kinematical dynamical model,Carl Wunsch,earth atmospheric planetary science,"engineering, science, physic, mathematics, mechanical engineering, probability statistic, applied mathematics, fluid mechanic, classical mechanic, differential equation"
4.131B,Fall,2003.0,Graduate,architectural design level ii material tectonic transformation herreshoff museum,semester student asked transform hereshoff museum bristol rhode island process erasure addition hereshoff manufacturing recognized one premier builder america cup racing boat 1890s 1930s studio however program land water wind search expressing materially tectonically relationship principle condition land primarily stasis docking anchoring referencing locus water fluidity hold latent promise movement freedom movement activated wind allowing negotiating relationship water land,Prof. Paul Lukez,architecture,"architecture, fine art, architectural design, architectural history criticism"
9.01,Fall,2007.0,Undergraduate,introduction neuroscience,course introduction mammalian nervous system emphasis structure function human brain topic include function nerve cell sensory system control movement learning memory disease brain,"Prof. Mark Bear, Prof. Sebastian Seung",brain cognitive science,"science, biology, neuroscience"
